"C0000100","C0000200","C0005400","C0005700","C0007000","C0328600"
201,2,2,1993,34,139
202,2,2,1994,35,-3
301,3,2,1981,19,162
302,3,2,1983,22,144
303,3,2,1986,24,112
401,4,1,1980,18,107
403,4,2,1997,34,-3
801,8,2,1976,17,119
802,8,1,1979,20,107
803,8,2,1982,24,146
1001,10,2,1983,22,136
1002,10,2,1988,27,-3
1201,12,1,1989,30,109
1202,12,1,1993,33,115
1601,16,1,1990,31,109
1602,16,1,1993,34,124
1603,16,2,1996,37,120
1901,19,2,1987,29,96
2001,20,2,1990,30,129
2501,25,1,1990,30,135
2502,25,2,1993,33,-3
2701,27,2,1988,27,117
2702,27,1,1992,31,136
3001,30,1,1982,24,104
3002,30,1,1987,28,-3
3003,30,1,1991,32,136
3501,35,2,1990,26,135
3502,35,2,1993,29,139
3701,37,2,1990,31,116
4301,43,2,1982,21,98
4302,43,2,1989,27,98
4303,43,2,1997,35,98
4304,43,2,2000,38,-3
4401,44,2,1981,20,103
4402,44,2,1985,24,107
4601,46,2,1994,31,102
4602,46,2,1997,34,114
4901,49,1,1982,24,139
4902,49,1,1987,28,119
5001,50,1,1985,26,130
5002,50,1,1988,29,119
5003,50,1,1990,31,17
5004,50,1,1990,31,-3
5005,50,2,1992,34,111
5701,57,1,1979,21,148
5702,57,1,1995,37,-3
5703,57,2,1998,39,134
5801,58,2,1981,24,97
5802,58,2,1984,27,130
5803,58,1,1988,31,118
6101,61,2,1993,30,110
6102,61,1,1994,31,105
6103,61,1,2003,40,-7
6201,62,1,1996,32,128
6202,62,2,1998,34,151
6203,62,2,2001,37,1
6801,68,2,1993,31,111
6802,68,1,1995,33,114
6803,68,2,1996,34,114
7501,75,2,1994,31,131
7502,75,2,1996,34,128
7801,78,2,1989,31,111
7802,78,2,1992,34,118
7803,78,1,1996,39,127
7804,78,2,2000,42,137
8601,86,2,1977,17,97
8901,89,2,1986,27,112
9101,91,1,1994,30,118
9102,91,1,1996,33,141
9201,92,1,1982,20,108
9202,92,1,1992,29,98
9501,95,1,1985,25,91
9502,95,1,1987,26,111
9503,95,1,1988,28,108
9601,96,2,1980,19,124
